title,organizer_1,organizer_2,organizer_3,organizer_4,organizer_5,organizer_6,organizer_7,posted,desc,id,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,theme_1,theme_2,theme_3
"Mediation, Probability, and Environmental Risk","Lisa Han, Arizona State University","Derek Woods, Rice University",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Risk has always been environmental. Its origins are in maritime insurance, providing a bulwark against potential losses from travel through stormy seas. Today, statistics and probability mediate our definitions of environmental extremes, abnormal events, and the thresholds at which they occur for phenomena such as global warming and its resultant impacts. If, as Ulrich Beck argued, we are living in a risk society, then in the era of the Anthropocene, this entails an acute awareness of environmental risks.
Media are privileged tools through which to represent and understand environmental risk, including discourses of peak oil, carbon budgets, and viral projects like the climate clock in New York City. From scenario planning to speculative countdowns, mediations of risk “make predictable and manage the production of affects like anxiety, fear, and even shock” (Neves 2020, 349). Confronting a moment of radical environmental uncertainty, this panel asks, how do measurements, models and other media shape and control the material risks associated with environmental change? How might we conceptualize the relationship between environmental risk, uncertainty, probability theory, and its history?”
Finally, we cannot ignore the role of a risk society in creating environmental crises, as the depletion economies built around speculative capital produce both social inequalities and environmental precarity. We encourage prospective panelists to consider issues of environmental and social justice: what constitutes “good relations” when it comes to living with environmental risk? What kind of role can STS play in providing us with just, affirmative, and decolonial visions for environmental citizenship? ",123,risk, uncertainty, probability, environmental media, climate change,NA,NA,NA,Decolonial STS,Environmental/Multispecies Studies,"Information, Computing and Media Technology"
"Menstruation as Technology, Technologies of Menstruation","Monika Sengul-Jones, University of California, San Diego","Amanda Menking, University of Washington (Information School)",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Hormonal bodies have always been technologies of socio-technical relations. From the practices of spatial segregation due to menstruation (Spain, 1993) to the physical effects of ovulation and bleeding, to the varied practice of tracking of menstruation and ovulation (Delaney, Lupton, Toth, 1988, p. 274), scholars in feminist technoscience have documented menstruation as propelling and troubling gendered social formations. 
Simultaneously, social, political, and technical designs of (bio)technologies have influenced and co-constructed the meanings and embodied experiences of menstruation. Entrepreneurs have introduced products and services designed to meet the perceived needs of menstruators and appeal to neoliberal notions of ‘health and wellbeing’ (e.g., period panties, organic tampon subscriptions). Pharmaceutical companies, chemical products, and medical practitioners have developed, marketed, and prescribed products which manage, alter and disrupt endocrine cycles, troubling natural conceptions of menstruation. Social technologies like Instagram and TikTok have provided menstrual activists spaces to destigmatize menses, work to end period poverty (being unable to afford products to manage menstrual bleeding), and challenge assumptions and discursive constructions about difference and menstruation (Hasson, 2016). 
Ruha Benjamin’s work on race after technology suggests interdependency is always happening. “Our lived realit[ies] and infrastructural designs connect us in seen and unseen ways” (2019, p. 194). This panel takes up the premise of interdependency in considering technologies of menstruation and their effects. As precariously situated critical scholars, we invite scholars committed to feminist studies of technoscience and embodiment to inclusively and generatively engage in questions of the co-shaping of knowledge about menstruation with us. ",124,menstruation, embodiment, interdependency, feminist technoscience, endocrine,NA,NA,NA,Feminist STS / Queer STS,"Information, Computing and Media Technology",Medicine and Healthcare
"Metaexpertise? STS, Metascience, and Data Science","David Peterson, UCLA","Martin Bush, University of Melbourne",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				The construction of expertise is a key topic within STS, as is disagreement amongst experts (Shapin 1994; Collins & Evans 2002; Jasanoff 2009; Collins et al. 2020). Yet, categorising expert knowledge remains a problem. Formulations in terms of fields, disciplines, or domains come from an outside, “meta” position that sits uneasily with STS’s insights on the co-construction of scientific facts and social authority.
STS itself has been described as such an interdisciplinary endeavor with methodologies and theoretical frameworks that can be applied to different domains (Jasanoff 2016). The past decade has seen efforts to develop new forms of “domain-general” expertise such as metascience and data science (Evans & Foster 2011; Ioannidis et al. 2015; Munafò et al. 2017; Strasser & Edwards 2017; Ribes et al. 2019). These have different motivations and intervene in specific fields in different ways—as interlocutors, partners, and, even, diagnosticians. Often, different forms of expertise establish distinct epistemic cultures in order to protect their autonomy and avoid the open conflicts that reveal rival epistemological commitments (Knorr Cetina 1999). However, interactions between domain-general and domain-specific forms of expertise have produced new conflicts (Leonelli 2016; Peterson & Panosfky 2020).
This raises challenging questions. Does the incursion of domain-general expertise represent a threat to the autonomy of disciplinary scientists? What would ‘good relations’ across this divide look like? How are domain-specific skills like embodied knowledge and practical judgment absorbed into domain-general systems meant to enumerate, evaluate, or automate scientific practice? How should these new “sciences of science” make STS scholars rethink their own expertise, motivations, and roles in discussions of policy?
We welcome papers on topics including the evaluation of science, data-driven science policy, data-centric approaches to scientific research, automation in science, as well as other papers looking at how scientific expertise is being turned on epistemic cultures.
REFERENCES
Evans, James A., and Jacob G. Foster. 2011. “Metaknowledge.” Science 331(6018):721–25. doi: 10.1126/science.1201765.
Ioannidis, John P. A., Daniele Fanelli, Debbie Drake Dunne, and Steven N. Goodman. 2015. “Meta-Research: Evaluation and Improvement of Research Methods and Practices.” PLOS Biology 13(10):e1002264. doi: 10.1371/journal.pbio.1002264.
Collins, Harry M., and Robert Evans. 2002. “The Third Wave of Science Studies Studies of Expertise and Experience.” Social Studies of Science 32(2):235–96.
Collins, Harry M., Robert Evans, Darrin Durant, and Martin Weinel. 2020. Experts and the Will of the People. Cham: Palgrave Macmillan.
Jasanoff, Sheila. 2009. The Fifth Branch: Science Advisers as Policymakers. Harvard University Press.
Jasanoff, Sheila. 2016. “The Floating Ampersand: STS 
Past and STS to Come”. Engaging Science, Technology, and Society. [Online] 2:0 doi:https://doi.org/10.17351/ests2016.78
Knorr Cetina, Karin. 1999. Epistemic Cultures: How the Sciences Make Knowledge. Cambridge, MA: Harvard University Press.
Leonelli, Sabina. 2016. Data-Centric Biology: A Philosophical Study. University of Chicago Press.
Munafò, Marcus R., Brian A. Nosek, Dorothy V. M. Bishop, Katherine S. Button, Christopher D. Chambers, Nathalie Percie du Sert, Uri Simonsohn, Eric-Jan Wagenmakers, Jennifer J. Ware, and John P. A. Ioannidis. 2017. ‘A Manifesto for Reproducible Science’. Nature Human Behaviour 1(1):0021. doi: 10.1038/s41562-016-0021.
Peterson, David, and Aaron Panofsky. 2020. “Metascience as a Scientific Social Movement.” SocArXiv. August 4. doi:10.31235/osf.io/4dsqa.
Ribes, David, Andrew S. Hoffman, Steven C. Slota, and Geoffrey C. Bowker. 2019. “The Logic of Domains:” Social Studies of Science 49(3):281–309. doi: 10.1177/0306312719849709.
Shapin, Steven. 1994. A Social History of Truth: Civility and Science in Seventeenth-Century England. University of Chicago Press.
Strasser, Bruno J., and Paul N. Edwards. 2017. “Big Data Is the Answer … But What Is the Question?” Osiris 32(1):328–45. doi: 10.1086/694223.",125,metascience, replication, automation, science policy,NA,NA,NA,NA,"Big Data, AI and Machine Learning",Data and quantification,Governance and Public Policy
"Moving beyond Histories of Technoscience rooted in Nationalism towards Transnational Histories of Entanglement, Connection and Mutual Influencing","William Leeming, OCAD University","Ana Barahona, UNAM",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				The aim of the panel is to revisit concerns raised by Warwick Anderson (2009) about what he perceived to be the “minor postcolonial agenda in STS” becoming subsumed “as scholars choose now to fetishize ‘globalisation’.” At the time, as Maureen McNeil (2005: 106, 111) observed, the term “postcolonial” was “a rather ambiguous term” touching on “both the impact and legacies of formally deposed imperial regimes and to new forms of exploitative global relations,” noting that “colonial legacies are never simply ‘leftover’ from the past, they are reanimated, recast and reappropriated in new forms and new ways, with new resistances.” Anderson (2009: 389-390), in turn, described two overlapping directions within postcolonial STS: one was concerned with “subjugated knowledges” and the other with “conjugated subjects.” The critical study of subjugated knowledges placed emphasis on understandings of power, history, identity, and epistemology that have been marginalised or made invisible within Western society (e.g., Palladino and Worboys, 1993; Visvanathan, 1997; Harding, 1998). Conjugated subjects, on the other hand, “hint[ed] at postcolonial hybridity and heterogeneity, suggesting a more complicated and entangled state of affairs, one requiring intimate engagement with various theoretical stances popular in the humanities at the turn of the last century.” This raised doubt about the comprehensiveness and efficacy of prevailing narratives in which social, cultural, and political formations of technoscientific imperialism are depicted as one-way relationships of “sending” colonisers and “receiving” colonial subjects (e.g., Watson-Verran and Turnbull, 1995; Abraham, 2006; Seth, 2009). Moreover, it established grounds for a challenge to what Anderson (2009: 392, 397) described as global claims about patterns of local transactions that seem “quite abstract, strangely depopulated, and depleted of historical and social content” brought into being by a “[r]eluctance to recognise and engage directly with the postcolonial spectre haunting globalisation.” Studying what have since been called, variously, “connected,” “shared,” and “entangled” histories of technoscientific co-production permit, we believe, a foretaste of what can be achieved by untangling and reconnecting local histories of technoscience in ways that stress processes of mutual influencing across borders (cf. Philip, Irani, and Dourish, 2012; Kowal, Radin, and Reardon, 2013; Brandt, 2014). Accordingly, we solicit papers that include (but are not limited to) studies of “connected,” “shared,” and “entangled” relationships of technoscience that:
 have occurred between colonial powers and colonized peoples
 have occurred under (pre- or post-1989) first-second-third world international relationships
 have occurred in so-called developing/developed nation relationships
 have occurred as a result of collaborations in international technoscientific projects (e.g., Human Genome Projects, Millennium Seed Bank Partnership)
References
Abraham, I. (2006) The contradictory spaces of postcolonial techno-science. Economic and Political Weekly, 41 (3): 210–217.
Anderson, W. (2009) From subjugated knowledge to conjugated subjects: Science and globalisation, or postcolonial studies of science? Postcolonial Studies, 12 (4): 389-400.
Brandt, M. (2014) Zapatista corn: A case study in biocultural innovation. Social Studies of Science 44 (6): 874-900.
Harding, S. (1998) Is Science Multicultural? Postcolonialisms, Feminisms, and Epistemologies. Bloomington: Indiana University Press.
Kowal, E., J. Radin, and J. Reardon (2013) Indigenous body parts, mutating temporalities, and the half-lives of postcolonial technoscience. Social Studies of Science, 43 (4): 465-483.
Philip, K., L. Irani, and P. Dourish (2012), ‘Postcolonial computing: A tactical survey.’ Science, Technology, & Human Values, 37 (1): 3-29.
McNeil, M. (2005) Introduction: Postcolonial Technoscience. Science as Culture, 14 (2): 105-112.
Palladino, P., and M. l. Worboys (1993) Science and Imperialism. Isis, 84 (1): 91-102.
Seth, S. (2009) Putting knowledge in its place: Science, colonialism, and the postcolonial. Postcolonial Studies, 12 (4): 373-388.
Visvanathan, S. (1997) A Carnival for Science: Essays on Science, Technology, and Development. Oxford: Oxford University Press.
Watson-Verran, H., and D. Turnbull (1995) Science and other indigenous knowledge systems. Pp. 115–139 in S. Jasonoff, G. E. Markle, J. C. Petersen and T. Pinch (eds), Handbook of Science and Technology Studies. Thousand Oaks: Sage.",126,post-colonialism, centre and periphery debates, transnational histories, entangled histories, connected histories,NA,NA,NA,Decolonial STS,Postcolonial STS,Transnational STS
Multiplying Cybernetics,"Grant Jun Otsuki, Victoria University of Wellington",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				This panel invites papers that deepen understandings of the histories, cultures, and politics of cybernetics. Since the mid-twentieth century, cybernetics has exercised a profound influence on contemporary science, technology, and society. Its historical development and impacts have received significant recent attention, which has shown how cybernetics emerged to shape not only the technological infrastructures and politics of the present day, but also the intellectual, ethical, and trajectories of disciplines across the natural and social sciences and engineering. 
While the importance of cybernetics is widely recognized, the stories told about it are largely situated within post-World War II Euro-American contexts and focused on a recognized group of influential figures and institutions. In recent years, there has been a movement to move beyond these foundations the seek a better grasp of how cybernetics has travelled, translated, and diversified into many forms across disciplines, but also across countries. This panel will join this movement, inviting contributions that push beyond dominant framings of cybernetics in order to examine it in ways that are multiple, especially transnationally and transdisciplinarily. 
The panel invites scholars interested in thinking of cybernetics as multiple, diverse in its origins, forms, and effects, with the goal of beginning a collective discussion about the foundations and futures of cybernetics and information societies broadly. Papers may address: histories of cybernetics beyond Euro-American contexts; cybernetics’ interactions with other disciplines, including but not limited to economics, education, management, cognitive sciences, life sciences, ethics and philosophy; and cybernetics in popular culture. ",127,cybernetics, transnationalism, transdisciplinarity, information science,NA,NA,NA,NA,"Big Data, AI and Machine Learning","Information, Computing and Media Technology",Transnational STS
New Wars on Science. The Reconfiguration of Contemporary Contestations of Science,"Henri Boullier, French National Centre for Scientific Research (CNRS)","Baptiste Kotras, Paris-Est University",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Lots of debates have recently arised about an alleged crisis of trust in science. Scientific knowledge is increasingly  entangled in crossed accusations of ‘fakeness’, conspiracy and falsification, on a number of critical issues (vaccines, pollution, climate, etc.). To make sense of this somewhat blurry picture, this panel argues for the necessity to go back to the basics of STS, adopting a symmetrical approach of contemporary contestations of science. This way, we wish to depict a large continuum of critiques, mobilizations and material resources at play in the transformation of the way we collectively apprehend the scientific truth. Contributions could follow three lines of research:
(1) by analyzing the material practices of so-called alternative science: how do climate skeptics or anti-vaxxers (for instance) collect data, design experiments, publicize results supporting their marginated theories?
(2) by documenting how corporate actors strive to undermine scientific consensus in order to defend their interests (building networks of journals, think tanks, philanthropic organizations, etc.) and/or how scientific institutions deal with such corporate involvement in knowledge production;
(3) by investigating the mobilization of heterogeneous actors (scientists, journalists, physicians) to fight what they consider irrational attacks against reason and progress. What kind of strategies, arguments and alliances do they build to “debunk fake science”?
We welcome a variety of cases and methods, in particular analyses focusing on the Global South (with different epistemic traditions & non-hegemonic scientific production), and/or using digital methods. ",128,Trust, Conspiracy, Controversy, Knowledge production, Corporate science,NA,NA,NA,Data and quantification,"Information, Computing and Media Technology",Science Communication/Public Engagement
Nonhuman Phenomenology and Technoscientific Intersubjectivity,"Claire Webb, MIT - Anthropology","Richard Fadok, MIT",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Vilem Flusser wrote that human knowledge of animal minds must navigate between the “Scylla of anthropocentric arrogance” and the “Charybdis of nostalgie de la boue” (2012). While nonhuman modes of sensing are often athwart to or simply alien from human phenomenologies, technoscientific actors enact enmeshments with such Others in radical forms of relational world-making—for instance, with brittlestars (Barad 2007) and with dogs (Haraway 2008). This panel explores the discourses, values, and practices through which scientists, technologists, and designers speculate on and care about nonhuman modes of sensation. 
Over the past decade, scholars have described how our knowledge of nonhuman phenomenology is mediated by language (Kohn 2013), sentiment (Sharp 2019), gesture (Kalshoven 2018), and care (Wanderer 2018; cf. Candea 2010). Building on this work, we invite panelists to reflect on how the production of knowledge about nonhuman minds informs experimental and technical design and, in turn, how such designs affect the epistemological possibilities of knowing “what it is like to be” nonhuman (see Nagel 1974). How do epistemologies of the senses—the confrontation of the gaze (Derrida 1997), the immersive quality of sound (Roosth 2009), the intimacy of touch (Hayward 2010)—cultivate interspecies knowledge-making?
We welcome papers from a range of theoretical, methodological, and topical perspectives that examine the dialectic of human perception and nonhuman sensibility. Submissions may include empirical studies of the experimental and technical infrastructures through which nonhuman phenomenologies are grasped or theoretical examinations of human-nonhuman intersubjectivity (not just between biological organisms but also with AI and machines). ",129,Nonhuman phenomenology, multispecies and animal studies, design, sensation and perception, intersubjectivity,NA,NA,NA,Environmental/Multispecies Studies,Feminist STS / Queer STS,NA
Nudging/Libertarian Paternalism Open Panel,"Daniel Shussett, Villanova University",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Open panel to discuss theories and practices of “nudging” (also referred to as “libertarian paternalism”) as a way to respond to unequal and uncertain worlds. Open panel to function in round robin format between paper presenters, with brief Q&A following each paper and wider discussion to follow all presentations and their corresponding Q&A sessions. Cass R. Sunstein (2014) defines nudges as “liberty-preserving approaches that steer people in particular directions, but that also allow them to go their own way,” and they are “intended to ensure that people do not struggle when they seek to interact with their government or to achieve their goals.” This open panel will address questions of nudging’s efficacy with regard to rationality, ethics, and agency within unequal and uncertain worlds. Can nudging prove to instantiate greater equality and certainty when we most need it, and if so, how? ***Open panel submitter has a paper that is conference ready that describes nudging in the context of transhumanism and material agency, using thinkers such as Bruno Latour, Andy Clark, and Lambros Malafouris.*** ",130,nudging, libertarian paternalism, public policy,NA,NA,NA,NA,NA,"Big Data, AI and Machine Learning","Economics, Markets, Value/Valuation",Governance and Public Policy
"Open Platforms: Technology, Politics, Business, and Social Movements in a Global Digital Age","Chen-Pang Yeang, University of Toronto","Wen-Ching Sung, University of Toronto",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				With the popularity of crowd-sourcing, peer production, and the sharing economy, the ideas of open platforms loom large.  Generally, an open platform refers to a technological system operating under a public standard so that applications following the same standard can be functionally integrated.  Standardization has a longstanding history since the Industrial Revolution.  In the 1970s-90s, the deliberations on open systems and protocols fuelled the development of personal computers and the Internet.  When hackers and activists launched the Free and Open Source Software movement in the 1980s-90s, they envisioned the operating systems GNU and Linux as quintessentially open platforms that epitomized the political ideals of freedom, transparency, community, and participation.  By the 2010s-20s, open platforms have gained novel connotations.  To start-ups, open-source environments such as GitHub become popular cyberspace for software development.  To small companies, social media like Facebook provide new opportunities to conduct business and marketing.  Large corporations and governments jump on the bandwagon to support the sustaining and advancing of open-platform software and hardware in operating systems (e.g., Android), telecommunications (e.g., 5G open wifi), and microprocessors (e.g., RISC-V).  In so doing, they nonetheless tread on a thin line between innovation, monopolistic interest, geopolitical competition, intellectual properties, privacy, and security.  In this panel, we try to make sense of these dazzling developments regarding open platforms.  From a global perspective, we examine how they revise the meanings of work, reconfigure the forms of organization, project visions about the future, and engage politics and governance in the digital age. ",131,platform, open-source, innovation, digital technology,NA,NA,NA,NA,"Economics, Markets, Value/Valuation","Information, Computing and Media Technology",Social Justice/Social Movement
Optical Media: The Impact of Visual Technologies,"Alexander Monea, George Mason University","Paula Sanchez Nunez de Villavicencio, University of Toronto",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Optical media, borrowed from Friedrich Kittler, is an expanded concept that connects photography, film and television with other techniques and technologies that mediate optics and vision (e.g. microscopes, telescopes, oscilloscopes, echocardiography, ad inf.). Normalized, expected and often desired, optical media shape how we perceive the reality that surrounds us, mediating our understanding and experience of our inter- and intra-relationships with ourselves, others, objects, and worlds. In so doing, they constitute power relationships that reify inequalities and uncertainties, the key themes of 4S 2021, rendering certain people, places, and things visible, invisible, or hypervisible. These issues have grown in importance in the wake of COVID-19 and social distancing, where optical media have become ubiquitous.
This panel welcomes interdisciplinary research from STS and neighbouring fields that critically examine the role of these embedded and disruptive technologies in guiding our world views and relationships. By paying attention to the modes of seeing and looking that shape our perceptions, behaviours, and practices we can begin to better address their effects on other information systems including but not limited to the ones we work in, socialize in, and reside in. Questions we ask include how are modes of looking shaped by digital optical media? What potentials are there for visual manipulation, exploitation, or psychological vulnerabilities? What new possibilities for ways of thinking, interacting or organizing information do these technologies offer? Who and what is being rendered visible, invisible, or hypervisible and the power politics of optical media? ",132,Media studies, optical media, (in)visibility, STS, Technology Studies,NA,NA,NA,"Big Data, AI and Machine Learning","Information, Computing and Media Technology",NA
Pandemic Breathing – Air as Matter of Dis/Connection,"Vanessa Weber, HafenCity University","Lisa Wiedemann, Helmut Schmidt University Hamburg",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Air is pure complexity: it is full of relations. We share the air with other living beings and every breath is exchange, an entanglement of heterogeneous entities transforming one another. Thus, air is a matter of connection, an interface where humans and other-than-humans, bodies, and the world interfere (cf. Adey 2014, Górska 2016). In times of the covid-19 pandemic air became an element known for its aerosols being capable of passing a virus mouth-to-mouth. However, the pandemic also revealed in an intensified way that ‘[a]ll air is not equal’ (Godfrey & Torres, 2016: 9), since the conditions of respiration are bound to social, spatial, material, political, and economic aspects. The crisis changed our thoughtless relationship with air and made both mi-croscopic connections and disconnections visible.
In this panel we seek to explore air as matter of dis/connection: Which microscopic dis/connections and relations become visible through the air? In which context can we study the politics and sociomateriality of breathing? How can we explore these sociomaterial assemblages of breathing? Which material practices are enacted by pandemic breathing (e.g. filtering, physical distancing)? In which sense do monitoring and data practices reveal the connectivity of air? Does data produce breathable and non-breathable spaces? How do different socio-geographical environments affect breathing? In which respect do bodies, places, buildings, and air data recon-figure one another? Which agentic conflicts, power relations, or inequalities become evident through pandemic breathing? ",133,breathing, air, new materialism, filtering, affect,NA,NA,NA,Data and quantification,Environmental/Multispecies Studies,Feminist STS / Queer STS
Politics of data and quantification as modes of governing,"Ville Aula, London School Of Economics & Political Science",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Techniques and technology have played a major role in the studies of governance ever since the pioneering works of Michel Foucault. Performativity of classification, quantification, and datafication is nowadays a central tenet of a number of fields. STS has showed how politics play out on the level of producing scientific knowledge, governmentality studies have studied the diverse locations of governing, and recent work in critical data studies, data activism, and data justice has shown the political and normative variability of data practices. In addition to this theoretical expansion, material proliferation of digital data forces more practitioners than ever to engage with the politics of data. They must negotiate the competing political pressures of participating in, shaping, and sometimes rejecting digital assemblages. 
Keeping good relations between citizens and data practitioners invites us to address the politics of data and its devices and techniques as a mode of governance. How do practitioners understand and navigate the political dilemmas of contemporary data practices? How do politics unfold, become visible, or remain invisible for practitioners? How are these dilemmas materialized in work, tools, and systems? How should we as researchers relate to such dilemmas? How does, if at all, recent attention to ethics and justice influence practitioner perceptions of data politics? The panel tries to expand STS discussion on data practices by inviting submissions that draw from sociology, political science, and media and communications. The panel welcomes especially empirical papers, but is also open to conceptual, theoretical, and philosophical papers that address data politics. ",134,Critical Data Studies, data politics, digital assemblages, governance,,NA,NA,NA,Data and quantification,Governance and Public Policy,"Information, Computing and Media Technology"
Practices and Methods of Repair and Maintenance of Cultural Media,Marina Fontolan,"Alexander John Daniel Mirowski, Indiana University","Logan Brown, Indiana University Bloomington",NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				In recent years STS scholars have turned toward maintenance and repair as vital but overlooked responsibilities necessitated by our increasingly interconnected world. By foregrounding the banal – even boring – work of maintenance and repair, historians, theorists ethnographers, and others have exposed the constant effort that goes into preserving the functionality of everything from the vast sociotechnical assemblages of interstate highways to small, localized issues of personal comfort and bodily politics raised by air conditioning.
  Yet STS scholars have not yet made serious engagements with the maintenance and repair of cultural media, whose symbolic dimensions are typically left to media studies scholars. While interdisciplinary border crossings between STS and Media have increased, the wholesale digitization of media technologies demands that STS scholars contend with when, how, where, and why cultural media like paintings, radio, film and TV, games, and social media are repaired and maintained. This panel seeks to promote good relations between these two fields, bringing together questions of visibility and invisibility, labor, and innovation central to STS inquiries into repair and maintenance practices with questions of power and communication central to Media Studies. 
Themes to be explored in this panel might include but are not limited to:
1. Preservation and conservation of media artifacts
2. Sociotechnical repair and maintenance in archival collections
3. Digitization and the maintenance of media access
4. Fan and user resistance and repair practices
5. Software maintenance and algorithmic repair
6. Repairing trust and truth in social media
7. Maintenance, repair, and normalization ",135,Cultural Media, Repair, Maintenance, History,NA,NA,NA,NA,"Information, Computing and Media Technology",Method and Practice,Other
Practices And Methods Towards Good Relations With Robots And AI.,"Arne Maibaum, TU Berlin","Andreas Bischof, University of Technology Chemnitz",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				When talking about good relations with technologies and other-than-humans, as the conference theme does, new social robotics and Artificial Intelligence – or visions of their future version – are the perfect place for inquiry. For our panel, we are looking for talks that explore the relations between humans and their technological alter egos and/or the creation and design of such.
Recently the design and use of robots and AI in a variety of social settings have increased. They range from elaborate chatbots to smart assistants to AI therapists; from care- to companion- to sex robots and more. We are looking for contributions that explore the distinct nature of practices in interaction with those new social technologies. Especially, we want to investigate how these interactions can be kept or turned into “good” relations, against problems such as well-documented biases, racist and sexist premises, ethical concerns, or underlying technology-driven values.
Which knowledges, practices, and methods are helpful in creating, transforming, and studying relations between humans and technological others? Which STS-specific approaches, methods, and theories can help to create good relations?
What visions of the future are (or have been) envisioned in those technologies and how do they shape the future of unequal and uncertain worlds? Are there possible ideas that go beyond techno-dystopias for robotics and AI? ",136,Robots, AI, Robotics, other than humans, Care,NA,NA,NA,"Big Data, AI and Machine Learning","Information, Computing and Media Technology",Method and Practice
Practicing Process Ontology in and with Biological Research,"Sophia Rossmann, MCTS, Technical University of Munich","Georgia Samaras, MCTS TU München",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Biomedical fields increasingly understand life not as genetically determined, but as developing in relation to socio-material experiences. STS has discussed this development as the emergence of a postgenomic era or the biosocial turn, exploring how it changes views on genetics, bodies, their temporality and relationship to environments. For instance, engagements with environmental epigenetics, the microbiome, or viruses, reorient attention towards conceptualising phenomena, such as environment or disease, as relational entities across time and space. Thinking with relationality is an approach we can also find in the philosophy of biology. Dupré (2018, 2020) and others further the notion of process ontology; a theory, which understands biological phenomena as constantly stabilising processes with and in their environments instead of closed entities. While we can observe attempts of biologists themselves to address life as processual in research designs (e.g., applying a life-course perspective), we seek to make a shift in the ontological status of biological thinking more explicit: how does biology come from theory to practice and vice versa?
This panel aims to further discussions on process ontology in STS and to consider how an interdisciplinary processual research agenda could look like in method and practice (Niewöhner/Lock 2018). We invite theoretical works that discuss how process ontology might inform biological theory as well as empirical engagements on how it becomes known experimentally and with what effects for understanding life. We also encourage ethnographic stories that make good relations visible (e.g., symbiotic relationships), contrasting prevailing reductionist accounts on health and disease in biology. ",137,process ontology, molecular biology, environment, relationality, temporalities,NA,NA,NA,Environmental/Multispecies Studies,Feminist STS / Queer STS,"Genetics, Genomics, Biotechnology"
Privately controlled Algorithmic Tools for Evaluation of Publicly Funded Research: Implications for Global STS Communities and Transnational Research Infrastructure,"Leslie Chan, University of Toronto Scarborough","Angela Okune, University of California - Irvine",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Recent discussions about Transnational STS have pointed out that while academic research is often regarded as “global” and collaborative in nature, there is strong evidence that dominant research evaluation systems based on bibliometrics have historically favoured institutions and research from the global North, while research from the global South is under-represented (Nwagwu 2010). Evaluation systems that favour publications in English and topics thought to be of “international” relevance as opposed to “local” interest have skewed the geographic representation of what is considered “high quality” scholarly work. As Big Data and AI are increasingly integrated into existing systems of research evaluation and university rankings (Chen et al. 2019, Andrews 2020), this panel interrogates the metrics used by and produced through Artificial Intelligence (AI) tools to understand risks and opportunities for facilitating greater diversity of research. 
Importantly, there is also a neglected governance layer to these discussions about AI in research evaluation. Metrics generated by AI are almost exclusively designed and controlled by commercial entities like Elsevier and SpringerNature (Aspesi and Brand 2020). This leads to concern that important decision-making in global research governance is being driven by non-transparent and possibly biased automated processes that are owned and controlled by private entities that are not accountable to researchers and publicly funded institutions. This panel invites submissions that investigate different research governance models that center research communities over AI tools and corporate power. We are interested in learning about individual and institutional attempts to establish community-based governance of data, analytics and metrics. What mechanisms have groups established to attempt to keep processes and infrastructural development safe from corporate capture?
References
Andrews, P. (2020). The Platformization of Open. In Reassembling Scholarly Communications: Histories, Infrastructures, and Global Politics of Open Access. Edited by Martin Paul Eve and Jonathan Gray. MT Press. https://direct.mit.edu/books/book/4933/chapter/625174/The-Platformization-of-Open
Aspesi, C., & Brand, A. (2020). In pursuit of open science, open access is not enough. Science, 368(6491), 574–577. https://doi.org/10.1126/science.aba3763
Chen, G., Posada, A., & Chan, L. (2019). Vertical Integration in Academic Publishing: Implications for Knowledge Inequality. In Connecting the Knowledge Commons—From Projects to Sustainable Infrastructure: The 22nd International Conference on Electronic Publishing – Revised Selected Papers. OpenEdition Press. http://books.openedition.org/oep/9068
Nwagwu, W. E. (2010). Cybernating the academe: Centralized scholarly ranking and visibility of scholars in the developing world. Journal of Information Science, 36(2), 228–241. https://doi.org/10.1177/0165551509358482 ",138,Algorithmic Governance, Structural Inequity in Science,  Research Evaluation, Science Policy, Geopolitics of Knowledge,NA,NA,NA,"Big Data, AI and Machine Learning",Governance and Public Policy,Transnational STS
