LicenseNbr,LicenseAppStatus,DoingBusinessAsName,LicExpirationDate,LicExpirationStatus,AddressFull,AddrStreetNo,AddrStreetDir,AddrStreetName,AddrStreetType,AddrUnit,PrimarilyRestaurant,RetailFoodEstab,RestaurantMobileCart,RestaurantMobileBase,RetailMobileCart,RetailMobileBase,FarmersMarket,RecDate,EstablishmentType,AddrCity,ESRI_OID
73204-81405,Active,Easy Landing,2023/06/30 05:00:00+00,Active,"7652 STATE HIGHWAY 73
MARSHALL, WI 53559",7652,,STATE HIGHWAY 73,,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MARSHALL,595
73209-81411,Active,Noodles & Company,2023/06/30 05:00:00+00,Active,"6520 MONONA DR
MONONA, WI 53716",6520,,MONONA,DR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MONONA,596
73210-81412,Active,Noodles & Company,2023/06/30 05:00:00+00,Active,"2981 TRIVERTON PIKE RD
FITCHBURG, WI 53711",2981,,TRIVERTON PIKE,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,FITCHBURG,597
73211-81413,Active,Nora's Tavern,2023/06/30 05:00:00+00,Active,"1843 US HIGHWAY 12 & 18
DEERFIELD, WI 53531",1843,,US HIGHWAY 12 & 18,,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,DEERFIELD,598
73214-81416,Active,Old Feed Mill,2023/06/30 05:00:00+00,Active,"114 CRAMER ST
MAZOMANIE, WI 53560",114,,CRAMER,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MAZOMANIE,599
73215-81417,Active,Gino's Italian Deli,2023/06/30 05:00:00+00,Active,"6509 CENTURY AVE
MIDDLETON, WI 53562",6509,,CENTURY,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MIDDLETON,600
73219-81421,Active,Orchid Heights Condominiums,2023/06/30 05:00:00+00,Active,"3556 VALLEY RIDGE RD
MIDDLETON, WI 53562",3556,,VALLEY RIDGE,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MIDDLETON,601
73220-81422,Active,Oregon Bowl,2023/06/30 05:00:00+00,Active,"214 SPRING ST
OREGON, WI 53575",214,,SPRING,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,OREGON,602
73222-81424,Active,Oregon Pool,2023/06/30 05:00:00+00,Active,"249 BROOK ST
OREGON, WI 53575",249,,BROOK,ST,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,OREGON,603
73222-81425,Active,Oregon Pool,2023/06/30 05:00:00+00,Active,"249 BROOK ST
OREGON, WI 53575",249,,BROOK,ST,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,OREGON,604
73224-81427,Active,Black Earth Bp Inc,2023/06/30 05:00:00+00,Active,"1525 STATE ST
BLACK EARTH, WI 53515",1525,,STATE,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,BLACK EARTH,605
73229-81432,Active,Pancake Cafe,2023/06/30 05:00:00+00,Active,"6220 NESBITT RD
FITCHBURG, WI 53719",6220,,NESBITT,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,FITCHBURG,606
73247-81450,Active,Pinnacle Health & Fitness,2023/06/30 05:00:00+00,Active,"5973 EXECUTIVE DR
FITCHBURG, WI 53719",5973,,EXECUTIVE,DR,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,FITCHBURG,607
73247-81452,Active,Pinnacle Health & Fitness,2023/06/30 05:00:00+00,Active,"5973 EXECUTIVE DR
FITCHBURG, WI 53719",5973,,EXECUTIVE,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,FITCHBURG,608
73247-81453,Active,Pinnacle Health & Fitness,2023/06/30 05:00:00+00,Active,"5973 EXECUTIVE DR
FITCHBURG, WI 53719",5973,,EXECUTIVE,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,FITCHBURG,609
73248-81454,Active,Pit Stop Pub,2023/06/30 05:00:00+00,Active,"116 E MAIN ST
SUN PRAIRIE, WI 53590",116,E,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,SUN PRAIRIE,610
73253-81459,Active,Pleasant Springs Pub,2023/06/30 05:00:00+00,Active,"2630 COUNTY HIGHWAY N
STOUGHTON, WI 53589",2630,,COUNTY HIGHWAY N,,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,STOUGHTON,611
73255-81465,Active,Prairie Athletic Club-indoor Family Zero Depth,2023/06/30 05:00:00+00,Active,"1010 N BIRD ST
SUN PRAIRIE, WI 53590",1010,N,BIRD,ST,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,SUN PRAIRIE,612
73255-81467,Active,Prairie Athletic Club-indoor Family Whirlpool,2023/06/30 05:00:00+00,Active,"1010 N BIRD ST
SUN PRAIRIE, WI 53590",1010,N,BIRD,ST,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,SUN PRAIRIE,613
73255-81468,Active,Prairie Athletic Club-outdoor Plunge Dolphin's Cove,2023/06/30 05:00:00+00,Active,"1010 N BIRD ST
SUN PRAIRIE, WI 53590",1010,N,BIRD,ST,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,SUN PRAIRIE,614
73255-81469,Active,Prairie Athletic Club-outdoor Whirlpool,2023/06/30 05:00:00+00,Active,"1010 N BIRD ST
SUN PRAIRIE, WI 53590",1010,N,BIRD,ST,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,SUN PRAIRIE,615
73256-81470,Active,Prairie Crest Apartments,2023/06/30 05:00:00+00,Active,"321 MEADOWSIDE DR
VERONA, WI 53593",321,,MEADOWSIDE,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,VERONA,616
73258-81472,Active,Cenex Mini Mart,2023/06/30 05:00:00+00,Active,"501 W MAIN ST
MOUNT HOREB, WI 53572",501,W,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MOUNT HOREB,617
73261-81476,Active,Quivey's Grove,2023/06/30 05:00:00+00,Active,"6261 NESBITT RD
FITCHBURG, WI 53719",6261,,NESBITT,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,FITCHBURG,618
73264-81479,Active,Redline Mobil Mart,2023/06/30 05:00:00+00,Active,"937 E HOLUM ST
DEFOREST, WI 53532",937,E,HOLUM,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,DEFOREST,619
73265-81480,Active,Outpost Bar & Grill,2023/06/30 05:00:00+00,Active,"227 MAIN ST
COTTAGE GROVE, WI 53527",227,,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,COTTAGE GROVE,620
73266-81481,Active,Rex's Innkeeper,2023/06/30 05:00:00+00,Active,"301 W CENTURY AVE
WAUNAKEE, WI 53597",301,W,CENTURY,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,WAUNAKEE,621
73270-81485,Active,Ripp Tavern,2023/06/30 05:00:00+00,Active,"117 E MAIN ST
WAUNAKEE, WI 53597",117,E,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,WAUNAKEE,622
73271-81486,Active,Seminole Village Pool,2023/06/30 05:00:00+00,Active,"3056 WOODS EDGE WAY
FITCHBURG, WI 53711",3056,,WOODS EDGE,WAY,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,FITCHBURG,623
73272-81487,Active,Rolling Hills Owners Assoc,2023/06/30 05:00:00+00,Active,"5510 CENTURY AVE
MIDDLETON, WI 53562",5510,,CENTURY,AVE,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MIDDLETON,624
73273-81488,Active,Rookies Food & Spirits,2023/06/30 05:00:00+00,Active,"10267 US HIGHWAY 14
MAZOMANIE, WI 53560",10267,,US HIGHWAY 14,,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MAZOMANIE,625
73276-81491,Active,Roxbury Valley Trap Club,2023/06/30 05:00:00+00,Active,"9140 COUNTY HIGHWAY Y
SAUK CITY, WI 53583",9140,,COUNTY HIGHWAY Y,,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,SAUK CITY,626
73278-81494,Active,Rudes Lanes,2023/06/30 05:00:00+00,Active,"210 HOLUM ST
DEFOREST, WI 53532",210,,HOLUM,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,DEFOREST,627
73282-81498,Active,Subway,2023/06/30 05:00:00+00,Active,"1300 HAMILTON ST
STOUGHTON, WI 53589",1300,,HAMILTON,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,STOUGHTON,628
73283-81499,Active,Subway,2023/06/30 05:00:00+00,Active,"773 N MAIN ST
OREGON, WI 53575",773,N,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,OREGON,629
73284-81500,Active,Subway,2023/06/30 05:00:00+00,Active,"500 W VERONA AVE
VERONA, WI 53593",500,W,VERONA,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,VERONA,630
73285-81501,Active,Subway,2023/06/30 05:00:00+00,Active,"4867 COUNTY HIGHWAY V
DEFOREST, WI 53532",4867,,COUNTY HIGHWAY V,,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,DEFOREST,631
73286-81502,Active,Countryside Apartments Pool,2023/06/30 05:00:00+00,Active,"2801 COVENTRY
MADISON, WI 53713",2801,,COVENTRY,,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,632
73288-81504,Active,Savannah Village,2023/06/30 05:00:00+00,Active,"1208 LAWTON LN
WAUNAKEE, WI 53597",1208,,LAWTON,LN,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,WAUNAKEE,633
73288-81506,Active,Savannah Village,2023/06/30 05:00:00+00,Active,"1208 LAWTON LN
WAUNAKEE, WI 53597",1208,,LAWTON,LN,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,WAUNAKEE,634
73294-81512,Active,Belleville School District Pool,2023/06/30 05:00:00+00,Active,"625 W CHURCH ST
BELLEVILLE, WI 53508",625,W,CHURCH,ST,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,BELLEVILLE,635
73294-81513,Active,Belleville School District Pool,2023/06/30 05:00:00+00,Active,"625 W CHURCH ST
BELLEVILLE, WI 53508",625,W,CHURCH,ST,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,BELLEVILLE,636
73297-81516,Active,Seminole Pool & Tennis Club,2023/06/30 05:00:00+00,Active,"5948 SCHUMANN DR
FITCHBURG, WI 53711",5948,,SCHUMANN,DR,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,FITCHBURG,637
73297-81517,Active,Seminole Pool & Tennis Club,2023/06/30 05:00:00+00,Active,"5948 SCHUMANN DR
FITCHBURG, WI 53711",5948,,SCHUMANN,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,FITCHBURG,638
73301-81521,Active,Smoky Jon's Pit Room,2023/06/30 05:00:00+00,Active,"5516 N COUNTY HIGHWAY CV
MADISON, WI 53704",5516,N,COUNTY HIGHWAY CV,,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,639
73314-81534,Active,Spartan Bowl,2023/06/30 05:00:00+00,Active,"4711 FARWELL ST
MCFARLAND, WI 53558",4711,,FARWELL,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MCFARLAND,640
73315-81535,Active,Speedway #4132,2023/06/30 05:00:00+00,Active,"6340 LAKE RD
WINDSOR, WI 53598",6340,,LAKE,RD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,WINDSOR,641
73316-81536,Active,Speedway #4132,2023/06/30 05:00:00+00,Active,"5450 MONONA DR
MONONA, WI 53716",5450,,MONONA,DR,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MONONA,642
73318-81538,Active,Speedway #4132,2023/06/30 05:00:00+00,Active,"2810 FISH HATCHERY RD
FITCHBURG, WI 53713",2810,,FISH HATCHERY,RD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,FITCHBURG,643
73320-81540,Active,Spring Garden,2023/06/30 05:00:00+00,Active,"225 S CENTURY AVE E
WAUNAKEE, WI 53597",225,S,CENTURY,AVE,E,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,WAUNAKEE,644
73321-81541,Active,St Ann Congregation,2023/06/30 05:00:00+00,Active,"320 N HARRISON ST
STOUGHTON, WI 53589",320,N,HARRISON,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,STOUGHTON,645
73322-81542,Active,St Peter's Church,2023/06/30 05:00:00+00,Active,"7125 COUNTY HIGHWAY K
MIDDLETON, WI 53562",7125,,COUNTY HIGHWAY K,,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MIDDLETON,646
73323-81543,Active,Starbucks Coffee Company #2511,2023/06/30 05:00:00+00,Active,"2981 TRIVERTON PIKE RD
FITCHBURG, WI 53711",2981,,TRIVERTON PIKE,RD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,FITCHBURG,647
73325-81545,Active,Starbucks Coffee Company #2655,2023/06/30 05:00:00+00,Active,"6510 MONONA DR
MONONA, WI 53716",6510,,MONONA,DR,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MONONA,648
73338-81559,Active,Stoughton Country Club,2023/06/30 05:00:00+00,Active,"3165 SHADY SIDE DR
STOUGHTON, WI 53589",3165,,SHADY SIDE,DR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,STOUGHTON,649
73339-81560,Active,Stoughton Youth Hockey,2023/06/30 05:00:00+00,Active,"400 MANDT PKWY
STOUGHTON, WI 53589",400,,MANDT,PKWY,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,STOUGHTON,650
73340-81561,Active,Stoughton Hospital Close To Home Cafe,2023/06/30 05:00:00+00,Active,"900 RIDGE ST
STOUGHTON, WI 53589",900,,RIDGE,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,STOUGHTON,651
73344-81568,Active,Sugar And Spice Eatery,2023/06/30 05:00:00+00,Active,"317 NORA ST
STOUGHTON, WI 53589",317,,NORA,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,STOUGHTON,652
73347-81571,Active,The Lost Court,2023/06/30 05:00:00+00,Active,"1010 N BIRD ST
SUN PRAIRIE, WI 53590",1010,N,BIRD,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,SUN PRAIRIE,653
73349-81573,Active,Angell Park Tavern,2023/06/30 05:00:00+00,Active,"315 PARK ST
SUN PRAIRIE, WI 53590",315,,PARK,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,SUN PRAIRIE,654
73350-81574,Active,Sun Prairie Golf Course,2023/06/30 05:00:00+00,Active,"3039 HAPPY VALLEY RD
SUN PRAIRIE, WI 53590",3039,,HAPPY VALLEY,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,SUN PRAIRIE,655
73353-81577,Active,Middleton Shores Apartments,2023/06/30 05:00:00+00,Active,"6150 CENTURY AVE #101
MIDDLETON, WI 53562",6150,,CENTURY,AVE,#101,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MIDDLETON,656
73356-81580,Active,Maple Tree,2023/06/30 05:00:00+00,Active,"6010 US HIGHWAY 51
MCFARLAND, WI 53558",6010,,US HIGHWAY 51,,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MCFARLAND,657
73361-81585,Active,Waunakee Heritage School,2023/06/30 05:00:00+00,Active,"501 SOUTH ST
WAUNAKEE, WI 53597",501,,SOUTH,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,WAUNAKEE,658
73362-81586,Active,Waunakee Middle School,2023/06/30 05:00:00+00,Active,"1001 SOUTH ST
WAUNAKEE, WI 53597",1001,,SOUTH,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,WAUNAKEE,659
73363-81587,Active,Waunakee Prairie Elementary,2023/06/30 05:00:00+00,Active,"700 N MADISON ST
WAUNAKEE, WI 53597",700,N,MADISON,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,WAUNAKEE,660
73364-81588,Active,Waunakee Prep Kitchen,2023/06/30 05:00:00+00,Active,"303 SOUTH ST
WAUNAKEE, WI 53597",303,,SOUTH,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,WAUNAKEE,661
73366-81590,Active,Taylor Liquors,2023/06/30 05:00:00+00,Active,"5331 W RIVER RD
WAUNAKEE, WI 53597",5331,W,RIVER,RD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,WAUNAKEE,662
73369-81593,Active,The Great Dane Pub & Brewing Co,2023/06/30 05:00:00+00,Active,"2980 CAHILL MAIN
FITCHBURG, WI 53711",2980,,CAHILL MAIN,,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,FITCHBURG,663
73370-81594,Active,Clarion Suites,2023/06/30 05:00:00+00,Active,"2110 RIMROCK RD
MADISON, WI 53713",2110,,RIMROCK,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,664
73370-81595,Active,Clarion Suites,2023/06/30 05:00:00+00,Active,"2110 RIMROCK RD
MADISON, WI 53713",2110,,RIMROCK,RD,,,,,,,,,2022/11/16 11:00:10+00,Hotel/Motel,MADISON,665
73370-81596,Active,Clarion Suites,2023/06/30 05:00:00+00,Active,"2110 RIMROCK RD
MADISON, WI 53713",2110,,RIMROCK,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,666
73370-81597,Active,Clarion Suites,2023/06/30 05:00:00+00,Active,"2110 RIMROCK RD
MADISON, WI 53713",2110,,RIMROCK,RD,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,667
73373-81600,Active,Noodles & Company,2023/06/30 05:00:00+00,Active,"3600 UNIVERSITY AVE
MADISON, WI 53705",3600,,UNIVERSITY,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,668
73376-81603,Active,The Sow's Ear,2023/06/30 05:00:00+00,Active,"125 S MAIN ST
VERONA, WI 53593",125,S,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,VERONA,669
73377-81604,Active,Timbers,2023/06/30 05:00:00+00,Active,"208 W NORTH ST
DEFOREST, WI 53532",208,W,NORTH,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,DEFOREST,670
73380-81607,Active,Springtree Apartments,2023/06/30 05:00:00+00,Active,"2615 AMHERST RD #B1
MIDDLETON, WI 53562",2615,,AMHERST,RD,#B1,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MIDDLETON,671
73384-81611,Active,Tuscany Mediterranean Grill,2023/06/30 05:00:00+00,Active,"2969 CAHILL MAIN #1
FITCHBURG, WI 53711",2969,,CAHILL MAIN,,#1,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,FITCHBURG,672
73387-81614,Active,Silver Eagle Bar & Grill,2023/06/30 05:00:00+00,Active,"5805 MONONA DR
MONONA, WI 53716",5805,,MONONA,DR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MONONA,673
73388-81615,Active,Culver's,2023/06/30 05:00:00+00,Active,"4910 COUNTY HIGHWAY V
DEFOREST, WI 53532",4910,,COUNTY HIGHWAY V,,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,DEFOREST,674
73389-81616,Active,Culver's,2023/06/30 05:00:00+00,Active,"900 E MAIN ST
WAUNAKEE, WI 53597",900,E,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,WAUNAKEE,675
73390-81617,Active,Valley View Apartments,2023/06/30 05:00:00+00,Active,"2925 FISH HATCHERY
FITCHBURG, WI 53713",2925,,FISH HATCHERY,,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,FITCHBURG,676
73391-81618,Active,Verona High School,2023/06/30 05:00:00+00,Active,"400 N MAIN ST B
VERONA, WI 53593",400,N,MAIN,ST,B,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,VERONA,677
73393-81620,Active,Vfw Bar,2023/06/30 05:00:00+00,Active,"200 VETERANS RD
STOUGHTON, WI 53589",200,,VETERANS,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,STOUGHTON,678
73394-81621,Active,Vfw Post 9362,2023/06/30 05:00:00+00,Active,"349 S WALKER WAY
SUN PRAIRIE, WI 53590",349,S,WALKER,WAY,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,SUN PRAIRIE,679
73395-81622,Active,Shorewood Pool-wading Pool,2023/06/30 05:00:00+00,Active,"901 SWARTHMORE CT
MADISON, WI 53705",901,,SWARTHMORE,CT,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,680
73395-81623,Active,Shorewood Pool-swimming Pool,2023/06/30 05:00:00+00,Active,"901 SWARTHMORE CT
MADISON, WI 53705",901,,SWARTHMORE,CT,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MADISON,681
73397-81625,Active,Village Of Cross Plains Pool,2023/06/30 05:00:00+00,Active,"2106 LEWIS ST
CROSS PLAINS, WI 53528",2106,,LEWIS,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,CROSS PLAINS,682
73397-81626,Active,Village Of Cross Plains Pool,2023/06/30 05:00:00+00,Active,"2106 LEWIS ST
CROSS PLAINS, WI 53528",2106,,LEWIS,ST,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,CROSS PLAINS,683
73397-81627,Active,Village Of Cross Plains Pool,2023/06/30 05:00:00+00,Active,"2106 LEWIS ST
CROSS PLAINS, WI 53528",2106,,LEWIS,ST,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,CROSS PLAINS,684
73399-81629,Active,Mazomanie Municipal Pool,2023/06/30 05:00:00+00,Active,"318 PARK ST
MAZOMANIE, WI 53560",318,,PARK,ST,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MAZOMANIE,685
73400-81631,Active,Shorewood Pool Concessions,2023/06/30 05:00:00+00,Active,"901 SWARTHMORE CT
MADISON, WI 53705",901,,SWARTHMORE,CT,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,686
73401-81632,Active,Subway,2023/06/30 05:00:00+00,Active,"1429 W MAIN ST
SUN PRAIRIE, WI 53590",1429,W,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,SUN PRAIRIE,687
73402-81633,Active,Wagner's Bar,2023/06/30 05:00:00+00,Active,"110 E MAIN ST
SUN PRAIRIE, WI 53590",110,E,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,SUN PRAIRIE,688
73405-81636,Active,Walgreens #5669,2023/06/30 05:00:00+00,Active,"401 W MAIN ST
WAUNAKEE, WI 53597",401,W,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,WAUNAKEE,689
73406-81637,Active,Walgreens #5087,2023/06/30 05:00:00+00,Active,"2931 S FISH HATCHERY RD
FITCHBURG, WI 53711",2931,S,FISH HATCHERY,RD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,FITCHBURG,690
73407-81638,Active,Walgreens #6130,2023/06/30 05:00:00+00,Active,"3700 UNIVERSITY AVE
MADISON, WI 53705",3700,,UNIVERSITY,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,691
73408-81639,Active,Walgreens #7519,2023/06/30 05:00:00+00,Active,"1705 US HIGHWAY 51
STOUGHTON, WI 53589",1705,,US HIGHWAY 51,,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,STOUGHTON,692
73409-81640,Active,Walgreens #4830,2023/06/30 05:00:00+00,Active,"5300 MONONA DR
MONONA, WI 53716",5300,,MONONA,DR,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MONONA,693
73410-81641,Active,Walgreens #3291,2023/06/30 05:00:00+00,Active,"275 DAVISON ST
SUN PRAIRIE, WI 53590",275,,DAVISON,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,SUN PRAIRIE,694
73411-81642,Active,Gordon's Drive In Restaurant,2023/06/30 05:00:00+00,Active,"122 W COMMERCIAL ST
MAZOMANIE, WI 53560",122,W,COMMERCIAL,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MAZOMANIE,695
73412-81643,Active,Gonstead Guest Cottage,2023/06/30 05:00:00+00,Active,"600 S SECOND ST
MOUNT HOREB, WI 53572",600,S,SECOND,ST,,,,,,,,,2022/11/16 11:00:10+00,Bed and Breakfast,MOUNT HOREB,696
73413-81644,Active,Waterfront Place Condos,2023/06/30 05:00:00+00,Active,"4101 MONONA DR
MONONA, WI 53716",4101,,MONONA,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MONONA,697
73414-81645,Active,Waters Edge Condo Ii,2023/06/30 05:00:00+00,Active,"3939 MONONA DR
MONONA, WI 53716",3939,,MONONA,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MONONA,698
73415-81646,Active,Waters Edge Condo,2023/06/30 05:00:00+00,Active,"4001 MONONA DR
MONONA, WI 53715",4001,,MONONA,DR,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MONONA,699
73416-81648,Active,Watertower Inn,2023/06/30 05:00:00+00,Active,"650 SCHILLER ST
SUN PRAIRIE, WI 53590",650,,SCHILLER,ST,,,,,,,,,2022/11/16 11:00:10+00,Hotel/Motel,SUN PRAIRIE,700
73417-81649,Active,Christy's Landing,2023/06/30 05:00:00+00,Active,"2952 WAUBESA AVE
MADISON, WI 53711",2952,,WAUBESA,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,701
73418-81650,Active,Waun A Bowl,2023/06/30 05:00:00+00,Active,"301 S CENTURY AVE
WAUNAKEE, WI 53597",301,S,CENTURY,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,WAUNAKEE,702
73425-81657,Active,Sabai Thong Thai Cuisine,2023/06/30 05:00:00+00,Active,"2840 UNIVERSITY AVE
MADISON, WI 53705",2840,,UNIVERSITY,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,703
73427-81659,Active,Fish Hatchery Mobil,2023/06/30 05:00:00+00,Active,"2956 S FISH HATCHERY RD
FITCHBURG, WI 53713",2956,S,FISH HATCHERY,RD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,FITCHBURG,704
73428-81660,Active,Windsor A & W,2023/06/30 05:00:00+00,Active,"4505 LAKE CIR
WINDSOR, WI 53598",4505,,LAKE,CIR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,WINDSOR,705
73430-81662,Active,Willows Tavern,2023/06/30 05:00:00+00,Active,"5485 WILLOW RD
WAUNAKEE, WI 53597",5485,,WILLOW,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,WAUNAKEE,706
73431-81663,Active,J L Richards,2023/06/30 05:00:00+00,Active,"668 JANESVILLE ST
OREGON, WI 53575",668,,JANESVILLE,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,OREGON,707
73432-81664,Active,Woodcreek Village Condo Association,2023/06/30 05:00:00+00,Active,"5801 WOODCREEK LN
MIDDLETON, WI 53562",5801,,WOODCREEK,LN,,,,,,,,,2022/11/16 11:00:10+00,Swimming Pool,MIDDLETON,708
